instance,alpha,solution,time,gap,lb,nodes,ub
20148,0.1,159.503068,0.303523,0.0,159.503068,241,159.503068
20149,0.1,404.946942,0.088766,0.0,404.946942,0,404.946942
20189,0.1,466.404577,72.376033,0.0,466.404577,38578,466.404577
20190,0.1,808.53819,43.264307,0.0,808.53819,40827,808.53819
20191,0.1,491.420923,8.437346,0.0,491.420923,2879,491.420923
20192,0.1,105.225469,5.710172,0.0,105.225469,2212,105.225469
20193,0.1,22.717735,0.524227,0.0,22.717735,275,22.717735
20001,0.2,142.113019,0.07404,0.0,142.113019,204,142.113019
20002,0.2,93.446095,0.024937,0.0,93.446095,0,93.446095
20003,0.2,122.026291,0.174708,0.0,122.026291,668,122.026291
20004,0.2,0.0,0.048092,0.0,0.0,80,0.0
20005,0.2,0.0,0.04742,0.0,0.0,39,0.0
20146,0.2,239.324749,126.285247,0.0,239.324749,109448,239.324749
20147,0.2,69.445529,26.256423,0.0,69.445529,14406,69.445529
20148,0.2,176.118845,0.628977,0.0,176.118845,829,176.118845
20149,0.2,413.73879,0.179435,0.0,413.73879,0,413.73879
20189,0.2,520.972375,53.326209,0.0,520.972375,50608,520.972375
20190,0.2,871.642021,56.474186,0.0,871.642021,49322,871.642021
20191,0.2,523.708746,8.628331,0.0,523.708746,5830,523.708746
20192,0.2,145.302119,13.311906,0.0,145.302119,5896,145.302119
20193,0.2,23.486984,0.719521,0.0,23.486984,830,23.486984
20001,0.3,159.550484,0.100549,0.0,159.550484,431,159.550484
20002,0.3,93.693433,0.035287,0.0,93.693433,0,93.693433
20003,0.3,139.237285,0.219458,0.0,139.237285,964,139.237285
20004,0.3,0.0,0.045313,0.0,0.0,52,0.0
20005,0.3,0.0,0.018317,0.0,0.0,0,0.0
20146,0.3,284.923333,47.671256,0.0,284.923333,45296,284.923333
20147,0.3,106.269907,5.746698,0.0,106.269907,3670,106.269907
20148,0.3,193.927195,0.493676,0.0,193.927195,766,193.927195
20149,0.3,423.477008,0.242002,0.0,423.477008,187,423.477008
20189,0.3,583.577184,45.921698,0.0,583.577184,66329,583.577184
20190,0.3,936.280751,34.559297,0.0,936.280751,38895,936.280751
20191,0.3,559.646454,9.253538,0.0,559.646454,8855,559.646454
20192,0.3,194.362868,17.82084,0.0,194.362868,9619,194.362868
20148,0.7,438.698208,6.557632,0.0,438.698208,7573,438.698208
20149,0.7,561.208352,1.565032,0.0,561.208352,3013,561.208352
20189,0.7,971.830002,215.126935,0.0,971.830002,241274,971.830002
20190,0.7,1313.507134,47.309755,0.0,1313.507134,51402,1313.507134
20191,0.7,830.329842,15.436209,0.0,830.329842,13325,830.329842
20192,0.7,457.570406,48.444148,0.0,457.570406,30719,457.570406
20193,0.7,236.539186,14.975393,0.0,236.539186,6854,236.539186
20001,0.8,304.693253,0.15645,0.0,304.693253,403,304.693253
20002,0.8,154.555366,0.078983,0.0,154.555366,213,154.555366
20003,0.8,223.119845,0.134222,0.0,223.119845,488,223.119845
20146,1.0,735.0,60.12838,0.0,735.0,61655,735.0
20147,1.0,686.0,23.766308,0.0,686.0,30288,686.0
20148,1.0,743.0,12.209062,0.0,743.0,17551,743.0
20149,1.0,903.0,5.778228,0.0,903.0,4063,903.0
20189,1.0,1357.0,211.391046,0.0,1357.0,340840,1357.0
20190,1.0,1742.0,34.342262,0.0,1742.0,50705,1742.0
20191,1.0,1127.0,14.128658,0.0,1127.0,28610,1127.0
20192,1.0,814.0,27.720745,0.0,814.0,22078,814.0
20193,1.0,577.0,12.671617,0.0,577.0,13414,577.0
20189,0.4,664.54957,94.085819,0.0,664.54957,70751,664.54957
20190,0.4,1008.689637,44.02259,0.0,1008.689637,35885,1008.689637
20191,0.4,600.404187,12.938019,0.0,600.404187,7126,600.404187
20192,0.4,245.721919,49.661312,0.0,245.721919,20917,245.721919
20193,0.4,71.924454,11.747917,0.0,71.924454,3346,71.924454
20001,0.5,196.859904,0.142503,0.0,196.859904,339,196.859904
20002,0.5,94.242641,0.035557,0.0,94.242641,7,94.242641
20003,0.5,174.600072,0.226715,0.0,174.600072,1005,174.600072
20004,0.5,0.0,0.071917,0.0,0.0,100,0.0
20005,0.5,5.497475,0.038249,0.0,5.497475,10,5.497475
20002,0.6,111.513675,0.046312,0.0,111.513675,44,111.513675
20003,0.6,194.496007,0.225176,0.0,194.496007,819,194.496007
20004,0.6,0.0,0.06162,0.0,0.0,89,0.0
20005,0.6,9.050081,0.04094,0.0,9.050081,17,9.050081
20146,0.6,452.485232,23.481675,0.0,452.485232,29441,452.485232
20147,0.6,281.590707,21.897317,0.0,281.590707,20958,281.590707
20148,0.6,354.233408,2.862921,0.0,354.233408,2670,354.233408
20149,0.6,486.891099,0.77658,0.0,486.891099,963,486.891099
20189,0.6,856.204852,233.939274,0.0,856.204852,255929,856.204852
20190,0.6,1210.900902,48.43488,0.0,1210.900902,57156,1210.900902
20191,0.6,744.650738,15.173953,0.0,744.650738,14024,744.650738
20192,0.6,376.231524,47.980806,0.0,376.231524,22582,376.231524
20193,0.6,166.551785,17.138312,0.0,166.551785,8854,166.551785
20001,0.7,259.912798,0.206519,0.0,259.912798,506,259.912798
20002,0.7,129.429846,0.060955,0.0,129.429846,56,129.429846
20003,0.7,208.312107,0.199995,0.0,208.312107,789,208.312107
20004,0.7,0.0,0.082971,0.0,0.0,69,0.0
20005,0.7,14.369873,0.06092,0.0,14.369873,178,14.369873
20146,0.7,505.768965,18.275545,0.0,505.768965,20263,505.768965
20147,0.7,364.624893,17.466609,0.0,364.624893,12597,364.624893
