instance,alpha,jobs,stages,solution_d0,solution_d0,last_improvment_time_d0,solution_d0,solution_d1,solution_d1,last_improvment_time_d1,solution_d1,MIN,gap_d0,gap_d1
,,,,mean,min,mean,cv,mean,min,mean,cv,,,
1161,0.1,30,5,14433.65728,14418.6088,6.87412,0.0627107076003785,14317.294640000002,14304.0107,5.481139999999999,0.10175549078418798,14304.0107,0.8011606143443338,0.0
1171,0.1,30,5,13567.45846,13540.1907,4.438599999999999,0.12377893733987602,13563.456419999999,13527.021,4.52132,0.23724999990908197,13527.021,0.09735846495690778,0.0
1181,0.1,30,5,1564.3959,1564.3959,2.00764,0.0,1542.3539,1542.3539,3.46122,0.0,1542.3539,1.4291142908252066,0.0
1191,0.1,30,5,4786.98108,4774.4141,4.554139999999999,0.20060518436487626,4801.26554,4787.2816,7.39032,0.2271918863218283,4774.4141,0.0,0.26950950903065346
1201,0.1,30,5,4789.1071600000005,4785.0322,6.504160000000001,0.05131398825474186,4786.00238,4774.8676,7.031999999999999,0.13372978472536914,4774.8676,0.21287710679140223,0.0
1211,0.1,30,5,9719.4795,9701.0686,3.7455,0.12216905474758342,9694.80288,9689.8124,5.0369399999999995,0.044965294645721604,9689.8124,0.11616530367502065,0.0
1221,0.1,30,5,15850.19428,15837.1697,4.7133400000000005,0.05251542277346223,15781.63836,15770.4979,5.0988999999999995,0.06611310326253934,15770.4979,0.4227628095369143,0.0
1231,0.1,30,5,13976.787900000001,13963.4655,7.5518,0.08601371400267172,13989.149660000001,13956.0983,4.19632,0.17613266465851662,13956.0983,0.052788392870524524,0.0
1241,0.1,30,5,2289.4021000000002,2282.774,5.29002,0.45958523999941386,2294.04572,2251.4558,6.3334,1.714840140494137,2251.4558,1.391019979161914,0.0
1251,0.1,30,5,6798.903,6764.6331,5.26696,0.3299640108102611,6831.784539999999,6817.0632,4.4479,0.19387104295603205,6764.6331,0.0,0.775061991166965
1261,0.1,30,5,5191.6397799999995,5182.6885,4.5348,0.109158585568424,5028.33834,5015.2083,5.66418,0.17108481905190565,5015.2083,3.3394465390400625,0.0
1271,0.1,30,5,5429.91214,5397.5739,8.832460000000001,0.33550680624074136,5419.53794,5399.9024,4.444699999999999,0.20466299410141447,5397.5739,0.0,0.04313975210232178
1281,0.1,30,5,7678.07304,7653.9823,5.86918,0.18702929223845033,7701.57904,7679.6193,4.47154,0.20838827089912063,7653.9823,0.0,0.33494982082726565
1291,0.1,30,5,14085.12572,14080.308,6.6238,0.04888725801171617,14081.018460000001,14069.9944,4.14424,0.06728485463596315,14069.9944,0.07330209029792731,0.0
1301,0.1,30,5,4438.5705800000005,4436.6382,6.04106,0.05581854322858323,4349.9814,4349.9814,2.03296,0.0,4349.9814,1.992118862853084,0.0
1311,0.1,30,5,4877.41812,4871.3692,4.21396,0.07144888985038637,4842.2567,4833.0484,8.44028,0.19806687312182214,4833.0484,0.7928908802154851,0.0
1321,0.1,30,5,6144.9421999999995,6133.2399,7.2402999999999995,0.1653380701325243,6150.4587,6116.7,5.80938,0.4817883274131345,6116.7,0.2704056108686017,0.0
1331,0.1,30,5,2959.0651,2959.0651,1.06876,0.0,2920.99834,2914.1651,6.283060000000001,0.19863970709706977,2914.1651,1.5407500419245166,0.0
1341,0.1,30,5,9810.69914,9805.6329,5.96314,0.046946595201999015,9761.41046,9758.8922,5.461799999999999,0.025379428723249716,9758.8922,0.4789549781070467,0.0
1351,0.1,30,5,19883.72092,19883.6624,5.70996,0.0006580996513176165,19851.3068,19846.6787,4.64016,0.031112004024811252,19846.6787,0.18634704858702972,0.0
1361,0.1,30,5,2524.59812,2512.6926,6.5689400000000004,0.2888580894034315,2543.53556,2509.6791,6.9467799999999995,1.0930497185968955,2509.6791,0.12007511239186006,0.0
1371,0.1,30,5,3864.67388,3842.5049,7.2506,0.516468007209646,3867.5904200000004,3826.4974,3.6052,1.00161346126727,3826.4974,0.4183329642403444,0.0
1381,0.1,30,5,3439.80006,3388.4902,3.01434,0.9323095800067167,3460.2866999999997,3434.8732,5.10246,0.6035398681577896,3388.4902,0.0,1.3688397269084565
1391,0.1,30,5,8783.316719999999,8775.0307,8.29546,0.07966352690813348,8779.41848,8772.929,5.71774,0.05660585241817816,8772.929,0.02395665119368064,0.0
1401,0.1,30,5,9665.02168,9640.7982,2.82618,0.23606662954864044,9676.09442,9658.9068,7.28928,0.12865638107373348,9640.7982,0.0,0.18783299498999356
1411,0.1,30,5,13415.99792,13399.61,4.53678,0.09883190441120122,13396.01424,13342.8459,6.1203,0.25889004700703977,13342.8459,0.42542723213194217,0.0
1421,0.1,30,5,4004.0211600000002,3991.5962,4.30668,0.2329473517370993,3952.5881999999997,3952.5882,3.93412,0.0,3952.5882,0.9868976484825768,0.0
1431,0.1,30,5,6195.89476,6189.4899,6.649860000000001,0.10778335603637658,6201.28872,6188.7261,4.47158,0.146695921926858,6188.7261,0.012341796803702771,0.0
