ID;FO;tempo;x
440;6122;60.741000;1
441;6066;63.118000;1
442;5848;60.328000;1
443;2167;62.282000;1
444;4634;56.155000;1
445;6027;61.392000;1
446;6755;61.670000;1
447;3547;60.784000;1
448;4162;60.573000;1
449;4535;64.954000;1
450;4375;60.932000;1
451;5577;59.663000;1
452;6742;62.097000;1
453;7518;59.577000;1
454;9290;58.211000;1
455;7187;62.763000;1
456;7035;61.043000;1
457;10179;59.536000;1
458;6234;61.110000;1
459;9469;63.497000;1
460;7006;60.964000;1
461;18192;57.992000;1
462;11714;61.761000;1
463;17160;60.458000;1
464;12612;62.173000;1
465;16898;62.443000;1
466;10259;60.103000;1
467;18073;58.437000;1
468;6812;61.998000;1
469;10898;63.096000;1
470;10025;61.609000;1
471;12734;57.739000;1
472;11131;61.089000;1
473;10622;60.116000;1
474;12687;61.806000;1
475;15225;60.173000;1
476;13418;60.038000;1
477;10632;61.893000;1
478;15071;59.605000;1
479;8245;63.816000;1
480;11602;60.493000;1
481;2963;57.338000;1
482;1106;55.491000;1
483;797;76.683000;1
484;750;54.801000;1
485;963;54.268000;1
486;3204;75.642000;1
487;1869;60.590000;1
488;1132;70.747000;1
489;2481;73.572000;1
490;5199;55.690000;1
491;2774;78.144000;1
492;1891;55.617000;1
493;295;52.297000;1
494;3495;74.265000;1
495;2323;57.978000;1
496;2436;77.451000;1
497;3878;72.396000;1
498;3090;60.264000;1
499;4954;76.771000;1
500;1232;56.605000;1
501;2756;54.448000;1
502;2148;78.557000;1
503;3110;57.453000;1
504;1897;54.468000;1
505;5889;73.101000;1
506;830;56.279000;1
507;4208;77.576000;1
508;1979;71.165000;1
509;2839;56.556000;1
510;2866;76.786000;1
511;14092;52.087000;1
512;17441;54.435000;1
513;12960;77.177000;1
514;14269;55.939000;1
515;8942;75.287000;1
516;9750;68.685000;1
517;11418;59.066000;1
518;15760;72.270000;1
519;10558;75.218000;1
520;16245;54.295000;1
521;4251;79.873000;1
522;9105;56.280000;1
523;18914;52.066000;1
524;19972;73.455000;1
525;14472;59.621000;1
526;16870;77.361000;1
527;14036;72.238000;1
528;13004;57.169000;1
529;12602;77.734000;1
530;6954;57.499000;1
531;14532;52.573000;1
532;19349;77.738000;1
533;17117;58.098000;1
534;19128;54.876000;1
535;21622;76.147000;1
536;17833;57.746000;1
537;18630;73.985000;1
538;18550;87.346000;1
539;18049;73.208000;1
540;13651;87.508000;1
541;10068;74.246000;1
542;6396;60.483000;1
543;3949;79.343000;1
544;6543;67.365000;1
545;5883;82.327000;1
546;6066;78.608000;1
547;6140;61.896000;1
548;8799;84.075000;1
549;4176;84.187000;1
550;7008;71.404000;1
551;10839;80.906000;1
552;5613;53.413000;1
553;5523;66.010000;1
554;9287;73.748000;1
555;5108;56.055000;1
556;11046;71.227000;1
557;10275;73.130000;1
558;9401;52.753000;1
559;4111;72.390000;1
560;8203;53.106000;1
561;5812;52.824000;1
562;3613;73.873000;1
563;6067;55.149000;1
564;13356;74.265000;1
565;10365;76.122000;1
566;11934;52.256000;1
567;8014;72.950000;1
568;12804;74.969000;1
569;13996;56.921000;1
570;8918;67.182000;1
571;15239;56.651000;1
572;16923;55.816000;1
573;21530;74.435000;1
574;11776;55.032000;1
575;14494;73.067000;1
576;18823;73.359000;1
577;13707;51.603000;1
578;12393;71.658000;1
579;9786;52.253000;1
580;19659;49.789000;1
581;17960;71.764000;1
582;20359;54.725000;1
583;16416;56.789000;1
584;18616;74.950000;1
585;20105;52.047000;1
586;13837;76.763000;1
587;21745;74.355000;1
588;25804;52.425000;1
589;19815;73.089000;1
590;30616;52.317000;1
591;36070;51.654000;1
592;21219;75.403000;1
593;13304;55.134000;1
594;21468;71.893000;1
595;23375;74.011000;1
596;24794;51.251000;1
597;14334;78.782000;1
598;14827;75.212000;1
599;25459;54.965000;1
600;36486;74.268000;1
601;1972;79.646000;1
602;4387;80.674000;1
603;3475;79.997000;1
604;695;79.447000;1
605;2392;83.641000;1
606;2161;79.907000;1
607;2809;71.373000;1
608;1230;83.954000;1
609;1810;78.333000;1
610;4498;79.647000;1
611;1033;80.375000;1
612;2045;83.700000;1
613;1624;80.075000;1
614;3197;82.941000;1
615;3897;81.286000;1
616;2378;83.579000;1
617;4266;80.823000;1
618;2178;77.556000;1
619;2841;74.843000;1
620;568;76.411000;1
621;7987;81.224000;1
622;2756;76.185000;1
623;6716;80.292000;1
624;2425;82.268000;1
625;2001;81.836000;1
626;4338;82.343000;1
627;2060;83.049000;1
628;2082;83.354000;1
629;5961;78.034000;1
630;3142;78.502000;1
631;9840;81.107000;1
632;5486;83.531000;1
633;9371;77.813000;1
634;14407;80.589000;1
635;9724;75.186000;1
636;9726;82.311000;1
637;11719;84.292000;1
638;8223;79.471000;1
639;10413;85.918000;1
640;13573;75.320000;1
641;16083;77.040000;1
642;18544;79.166000;1
643;15153;78.245000;1
644;14674;77.757000;1
645;9289;81.975000;1
646;16242;77.582000;1
647;15405;85.375000;1
648;10974;84.257000;1
649;9472;82.864000;1
650;6275;85.651000;1
651;15219;78.318000;1
652;8755;79.968000;1
653;21055;79.336000;1
654;11165;81.161000;1
655;12536;85.352000;1
656;16232;83.420000;1
657;14693;80.719000;1
658;21075;81.064000;1
659;10150;86.164000;1
660;11896;84.570000;1
661;3553;81.493000;1
662;3653;76.993000;1
663;8997;74.413000;1
664;2719;77.912000;1
665;6022;70.070000;1
666;5299;77.749000;1
667;8614;80.592000;1
668;2889;79.963000;1
669;6429;80.041000;1
670;4628;79.428000;1
671;4974;83.998000;1
672;11208;80.877000;1
673;8936;81.827000;1
674;10130;75.304000;1
675;4458;78.384000;1
676;6276;77.355000;1
677;7980;78.243000;1
678;11802;81.649000;1
679;5333;77.694000;1
680;4223;79.087000;1
681;5989;83.348000;1
682;8933;78.013000;1
683;6773;85.048000;1
684;7590;77.666000;1
685;4694;74.533000;1
686;11877;74.814000;1
687;8834;76.599000;1
688;10136;76.154000;1
689;17065;80.095000;1
690;6389;76.350000;1
691;11028;77.465000;1
692;18922;83.626000;1
693;21025;81.273000;1
694;11154;83.645000;1
695;9653;84.752000;1
696;13874;78.681000;1
697;18327;77.824000;1
698;10999;77.808000;1
699;18914;74.034000;1
700;20102;79.521000;1
701;35150;78.913000;1
702;22941;77.944000;1
703;13539;84.980000;1
704;9010;80.633000;1
705;28868;82.053000;1
706;20058;84.002000;1
707;19741;82.558000;1
708;15843;79.313000;1
709;7361;72.203000;1
710;11511;75.744000;1
711;10955;79.971000;1
712;23925;80.385000;1
713;20227;74.262000;1
714;16285;80.620000;1
715;31557;81.375000;1
716;23070;79.084000;1
717;20533;79.890000;1
718;19159;84.295000;1
719;27714;75.359000;1
720;33361;76.540000;1
721;3108;84.267000;1
722;1442;81.480000;1
723;4757;88.117000;1
724;1889;86.794000;1
725;2581;86.978000;1
726;2217;91.329000;1
727;867;90.583000;1
728;294;91.098000;1
729;3366;87.938000;1
730;3079;82.384000;1
731;3541;85.991000;1
732;2411;80.171000;1
733;1985;84.982000;1
734;4409;86.847000;1
735;2709;83.224000;1
736;890;87.042000;1
737;2217;86.256000;1
738;1736;84.219000;1
739;3147;87.398000;1
740;2202;90.892000;1
741;1141;93.009000;1
742;3656;80.435000;1
743;2141;79.972000;1
744;2398;82.573000;1
745;2335;87.795000;1
746;1648;90.283000;1
747;3966;88.304000;1
748;3432;83.747000;1
749;3756;91.657000;1
750;678;87.740000;1
751;11554;86.437000;1
752;9238;93.322000;1
753;8595;88.401000;1
754;4769;86.835000;1
755;12305;82.058000;1
756;9933;83.653000;1
757;12171;86.727000;1
758;9792;87.215000;1
759;8881;89.910000;1
760;8938;95.753000;1
761;12240;92.341000;1
762;9561;86.999000;1
763;9889;89.547000;1
764;12821;90.264000;1
765;12674;85.220000;1
766;10681;88.328000;1
767;11839;83.849000;1
768;16846;89.409000;1
769;12248;88.665000;1
770;19506;88.917000;1
771;13559;90.906000;1
772;18512;91.924000;1
773;12608;92.684000;1
774;21574;89.598000;1
775;21589;85.850000;1
776;13042;83.856000;1
777;14765;83.724000;1
778;15738;82.898000;1
779;15802;88.090000;1
780;18748;84.670000;1
781;5019;81.735000;1
782;5166;83.884000;1
783;4289;86.888000;1
784;7560;87.413000;1
785;4904;90.970000;1
786;1864;85.471000;1
787;2611;87.391000;1
788;5075;79.165000;1
789;5819;85.561000;1
790;10382;85.346000;1
791;9676;85.059000;1
792;7246;81.214000;1
793;4877;91.908000;1
794;7754;84.493000;1
795;8173;87.925000;1
796;6457;87.947000;1
797;4020;90.752000;1
798;12374;84.731000;1
799;8981;83.331000;1
800;7673;85.689000;1
801;20025;81.808000;1
802;10526;85.896000;1
803;9593;85.300000;1
804;12155;89.932000;1
805;13808;84.163000;1
806;12080;90.981000;1
807;15106;87.541000;1
808;6675;89.255000;1
809;9092;81.192000;1
810;4981;85.040000;1
811;15684;82.161000;1
812;20226;86.578000;1
813;14864;83.569000;1
814;13880;85.720000;1
815;8783;79.859000;1
816;9468;87.558000;1
817;9639;88.752000;1
818;10099;93.310000;1
819;13776;89.654000;1
820;6979;91.972000;1
821;21744;87.447000;1
822;22296;84.749000;1
823;17353;86.301000;1
824;23530;83.636000;1
825;13286;89.394000;1
826;24403;83.313000;1
827;16168;86.476000;1
828;22224;89.430000;1
829;7929;89.294000;1
830;10508;88.386000;1
831;33257;89.999000;1
832;34948;85.633000;1
833;22078;87.026000;1
834;34848;80.375000;1
835;13654;84.341000;1
836;20785;83.393000;1
837;14672;91.666000;1
838;21607;81.618000;1
839;26635;87.301000;1
840;16869;90.245000;1
841;981;91.507000;1
842;1885;94.370000;1
843;1295;92.773000;1
844;3637;95.074000;1
845;2308;87.226000;1
846;1783;93.618000;1
847;2590;84.601000;1
848;745;94.908000;1
849;2250;89.133000;1
850;2997;94.939000;1
851;1634;88.728000;1
852;2453;93.441000;1
853;1017;89.788000;1
854;1744;94.762000;1
855;4296;91.770000;1
856;4670;94.623000;1
857;2145;88.786000;1
858;4625;91.983000;1
859;1037;91.684000;1
860;1713;95.747000;1
861;1232;93.210000;1
862;3063;93.215000;1
863;2780;97.535000;1
864;5830;92.384000;1
865;5394;97.167000;1
866;6270;91.970000;1
867;1450;92.179000;1
868;1424;88.198000;1
869;2798;92.231000;1
870;1729;92.345000;1
871;6989;95.682000;1
872;13956;93.496000;1
873;6724;96.299000;1
874;17037;88.426000;1
875;8559;95.434000;1
876;9924;92.160000;1
877;9577;93.565000;1
878;9727;91.265000;1
879;9702;94.353000;1
880;8987;94.254000;1
881;11611;100.709000;1
882;21411;92.177000;1
883;19667;99.212000;1
884;14338;94.240000;1
885;9724;93.323000;1
886;12553;96.726000;1
887;11931;94.421000;1
888;13701;93.315000;1
889;7846;96.579000;1
890;14346;96.543000;1
891;24176;93.301000;1
892;18223;98.407000;1
893;19968;94.078000;1
894;9839;96.612000;1
895;20910;96.602000;1
896;15855;96.495000;1
897;17356;89.589000;1
898;18323;96.116000;1
899;20174;94.924000;1
900;8147;98.778000;1
901;2331;85.731000;1
902;7007;90.737000;1
903;5789;90.278000;1
904;5256;85.146000;1
905;2417;90.563000;1
906;4127;92.313000;1
907;8602;92.482000;1
908;2693;94.618000;1
909;3507;90.634000;1
910;6018;92.191000;1
911;7856;100.429000;1
912;4174;92.660000;1
913;4432;94.829000;1
914;6850;92.567000;1
915;4180;92.793000;1
916;3388;92.928000;1
917;10538;92.105000;1
918;7347;94.374000;1
919;5002;96.456000;1
920;4004;85.463000;1
921;13161;95.525000;1
922;4019;91.143000;1
923;16481;87.374000;1
924;6724;90.745000;1
925;14340;90.748000;1
926;14006;95.742000;1
927;5864;94.320000;1
928;5858;91.342000;1
929;5516;94.570000;1
930;12660;96.861000;1
931;19935;92.779000;1
932;11923;92.215000;1
933;20557;90.390000;1
934;10075;92.244000;1
935;14151;98.009000;1
936;15027;89.600000;1
937;17573;89.067000;1
938;9517;92.731000;1
939;13245;91.222000;1
940;21313;90.611000;1
941;24648;94.214000;1
942;20308;99.044000;1
943;14726;91.440000;1
944;13255;92.786000;1
945;19819;104.989000;1
946;15042;129.318000;1
947;18389;103.704000;1
948;19238;113.362000;1
949;24927;126.173000;1
950;14484;101.431000;1
951;25745;106.519000;1
952;23828;107.509000;1
953;27066;106.490000;1
954;29395;109.615000;1
955;59590;100.115000;1
956;17456;105.374000;1
957;30234;104.268000;1
