instance,alpha,solution,time,gap,lb,nodes,ub
20144,0.2,385.042711,0.194373,0.0,385.042711,265,385.042711
20001,0.0,103.0,0.057716,0.0,103.0,374,103.0
20002,0.0,93.0,0.050887,0.0,93.0,110,93.0
20003,0.0,98.0,0.038885,0.0,98.0,18,98.0
20004,0.0,0.0,0.036139,0.0,0.0,11,0.0
20005,0.0,0.0,0.024885,0.0,0.0,11,0.0
20006,0.0,132.0,0.03582,0.0,132.0,24,132.0
20007,0.0,392.0,0.05941,0.0,392.0,123,392.0
20008,0.0,273.0,0.097508,0.0,273.0,488,273.0
20009,0.0,162.0,0.044881,0.0,162.0,223,162.0
20010,0.0,482.0,0.059535,0.0,482.0,228,482.0
20011,0.0,499.0,0.071536,0.0,499.0,205,499.0
20012,0.0,315.0,0.049799,0.0,315.0,328,315.0
20013,0.0,72.0,0.059703,0.0,72.0,141,72.0
20014,0.0,32.0,0.034043,0.0,32.0,31,32.0
20015,0.0,32.0,0.033424,0.0,32.0,19,32.0
20016,0.0,175.0,0.040018,0.0,175.0,28,175.0
20017,0.0,120.0,0.043817,0.0,120.0,7,120.0
20018,0.0,209.0,0.106868,0.0,209.0,930,209.0
20019,0.0,306.0,0.085998,0.0,306.0,359,306.0
20020,0.0,118.0,0.076479,0.0,118.0,302,118.0
20021,0.0,257.0,0.050759,0.0,257.0,173,257.0
20022,0.0,314.0,0.056729,0.0,314.0,222,314.0
20023,0.0,39.0,0.044511,0.0,39.0,16,39.0
20024,0.0,275.0,0.064462,0.0,275.0,41,275.0
20025,0.0,65.0,0.059707,0.0,65.0,3,65.0
20026,0.0,38.0,0.108623,0.0,38.0,516,38.0
20027,0.0,218.0,0.09388,0.0,218.0,292,218.0
20028,0.0,189.0,0.080036,0.0,189.0,98,189.0
20029,0.0,90.0,0.064716,0.0,90.0,0,90.0
20030,0.0,73.0,0.071495,0.0,73.0,39,73.0
20031,0.0,466.0,0.141523,0.0,466.0,480,466.0
20032,0.0,319.0,0.143709,0.0,319.0,140,319.0
20033,0.0,203.0,0.171188,0.0,203.0,162,203.0
20034,0.0,65.0,0.058937,0.0,65.0,0,65.0
20035,0.0,900.0,0.242786,0.0,900.0,785,900.0
20036,0.0,289.0,0.065352,0.0,289.0,9,289.0
20037,0.0,48.0,0.299432,0.0,48.0,1093,48.0
20038,0.0,0.0,0.043409,0.0,0.0,70,0.0
20039,0.0,0.0,0.096878,0.0,0.0,50,0.0
20040,0.0,155.0,0.08444,0.0,155.0,18,155.0
20041,0.0,186.0,0.100078,0.0,186.0,151,186.0
20042,0.0,139.0,0.137773,0.0,139.0,485,139.0
20043,0.0,355.0,0.199471,0.0,355.0,834,355.0
20044,0.0,160.0,0.455598,0.0,160.0,2483,160.0
20045,0.0,79.0,0.044818,0.0,79.0,20,79.0
20046,0.0,477.0,0.111955,0.0,477.0,421,477.0
20047,0.0,343.0,0.266113,0.0,343.0,2031,343.0
20048,0.0,586.0,0.245725,0.0,586.0,1373,586.0
20049,0.0,20.0,0.054822,0.0,20.0,21,20.0
20050,0.0,75.0,0.279395,0.0,75.0,1999,75.0
20051,0.0,85.0,0.117375,0.0,85.0,572,85.0
20052,0.0,52.0,0.041572,0.0,52.0,0,52.0
20053,0.0,106.0,0.084813,0.0,106.0,120,106.0
20054,0.0,178.0,0.087638,0.0,178.0,40,178.0
20055,0.0,235.0,0.138448,0.0,235.0,434,235.0
20056,0.0,437.0,0.063534,0.0,437.0,30,437.0
20057,0.0,282.0,0.082986,0.0,282.0,91,282.0
20058,0.0,473.0,0.075185,0.0,473.0,74,473.0
20059,0.0,160.0,0.055792,0.0,160.0,0,160.0
20060,0.0,640.0,0.332446,0.0,640.0,1099,640.0
20061,0.0,75.0,0.194462,0.0,75.0,891,75.0
20062,0.0,14.0,0.168565,0.0,14.0,1000,14.0
20063,0.0,72.0,0.079711,0.0,72.0,38,72.0
20064,0.0,165.0,0.096679,0.0,165.0,119,165.0
20065,0.0,278.0,0.084131,0.0,278.0,120,278.0
20066,0.0,316.0,0.138644,0.0,316.0,490,316.0
20067,0.0,416.0,0.10865,0.0,416.0,371,416.0
20068,0.0,273.0,0.122352,0.0,273.0,429,273.0
20069,0.0,414.0,0.340862,0.0,414.0,1707,414.0
20070,0.0,126.0,0.044296,0.0,126.0,8,126.0
20071,0.0,370.0,0.060468,0.0,370.0,30,370.0
20072,0.0,510.0,0.052323,0.0,510.0,49,510.0
20073,0.0,0.0,0.050448,0.0,0.0,85,0.0
20074,0.0,295.0,0.154957,0.0,295.0,673,295.0
20075,0.0,40.0,0.075379,0.0,40.0,29,40.0
20076,0.0,221.0,0.070795,0.0,221.0,70,221.0
20077,0.0,146.0,0.041206,0.0,146.0,0,146.0
20078,0.0,74.0,0.061809,0.0,74.0,50,74.0
20079,0.0,288.0,0.065103,0.0,288.0,57,288.0
20080,0.0,25.0,0.058333,0.0,25.0,278,25.0
20081,0.0,212.0,0.136967,0.0,212.0,547,212.0
20082,0.0,181.0,0.040594,0.0,181.0,0,181.0
20083,0.0,377.0,0.078498,0.0,377.0,196,377.0
20084,0.0,97.0,0.093811,0.0,97.0,457,97.0
20085,0.0,0.0,0.066391,0.0,0.0,20,0.0
20086,0.0,58.0,0.106579,0.0,58.0,434,58.0
20087,0.0,18.0,0.053458,0.0,18.0,20,18.0
20088,0.0,390.0,0.14249,0.0,390.0,592,390.0
20089,0.0,160.0,0.05314,0.0,160.0,26,160.0
20090,0.0,33.0,0.050156,0.0,33.0,26,33.0
20091,0.0,285.0,0.066743,0.0,285.0,88,285.0
20092,0.0,376.0,0.082655,0.0,376.0,187,376.0
20093,0.0,451.0,0.197662,0.0,451.0,1054,451.0
20094,0.0,114.0,0.075611,0.0,114.0,131,114.0
20095,0.0,312.0,0.106677,0.0,312.0,310,312.0
20096,0.0,198.0,0.053315,0.0,198.0,10,198.0
20097,0.0,96.0,0.043295,0.0,96.0,6,96.0
20098,0.0,0.0,0.059362,0.0,0.0,0,0.0
20099,0.0,201.0,0.235835,0.0,201.0,1345,201.0
20100,0.0,93.0,0.045366,0.0,93.0,0,93.0
20101,0.0,0.0,0.042933,0.0,0.0,10,0.0
20102,0.0,278.0,0.105849,0.0,278.0,180,278.0
20103,0.0,387.0,0.082854,0.0,387.0,201,387.0
20104,0.0,368.0,0.312526,0.0,368.0,2200,368.0
20105,0.0,549.0,0.157555,0.0,549.0,426,549.0
20106,0.0,373.0,0.212462,0.0,373.0,1150,373.0
20107,0.0,502.0,0.143911,0.0,502.0,355,502.0
20108,0.0,303.0,0.064734,0.0,303.0,67,303.0
20011,0.2,530.738,0.123599,0.0,530.738,81,530.738
20012,0.2,359.234154,0.144527,0.0,359.234154,200,359.234154
20013,0.2,78.059423,0.141482,0.0,78.059423,114,78.059423
20014,0.2,62.551249,0.231262,0.0,62.551249,525,62.551249
20015,0.2,46.585873,0.094135,0.0,46.585873,38,46.585873
20016,0.2,179.03459,0.085184,0.0,179.03459,17,179.03459
20017,0.2,120.0,0.078064,0.0,120.0,47,120.0
20018,0.2,261.438068,0.252054,0.0,261.438068,558,261.438068
