instance,alpha,solution,time,gap,lb,nodes,ub
1271,0.2,4254.166362,13.032069,inf,inf,0.0,-inf
1281,0.2,3213.129165,19.753726,inf,inf,0.0,-inf
1291,0.2,9087.205841,6.49944,inf,inf,0.0,-inf
1301,0.2,4202.103234,9.567563,inf,inf,0.0,-inf
1311,0.2,4486.482012,38.371357,inf,inf,0.0,-inf
1321,0.2,2982.746439,31.121015,inf,inf,0.0,-inf
1331,0.2,2270.424743,4.024911,inf,inf,0.0,-inf
1341,0.2,9129.226911,8.189999,inf,inf,0.0,-inf
1351,0.2,12993.229314,9.113495,inf,inf,0.0,-inf
1361,0.2,847.115167,9.931921,inf,inf,0.0,-inf
1371,0.2,1611.561597,7.362143,inf,inf,0.0,-inf
1381,0.2,1386.478197,33.941489,inf,inf,0.0,-inf
1391,0.2,5527.074602,8.199125,inf,inf,0.0,-inf
1401,0.2,6134.266306,6.827998,inf,inf,0.0,-inf
1411,0.2,9824.977670,9.413643,inf,inf,0.0,-inf
1421,0.2,3806.038661,11.248942,inf,inf,0.0,-inf
1431,0.2,3882.261716,8.285495,inf,inf,0.0,-inf
1441,0.2,5390.434872,8.558097,inf,inf,0.0,-inf
1451,0.2,5545.069399,9.475019,inf,inf,0.0,-inf
1461,0.2,17655.941841,11.931283,inf,inf,0.0,-inf
1471,0.2,11165.917994,7.931619,inf,inf,0.0,-inf
1481,0.2,1887.917331,201.645719,inf,inf,0.0,-inf
1491,0.2,2341.231546,15.225421,inf,inf,0.0,-inf
1501,0.2,2662.770874,353.633904,inf,inf,0.0,-inf
1511,0.2,10938.691918,21.998754,inf,inf,0.0,-inf
1521,0.2,3691.269544,100.714277,inf,inf,0.0,-inf
1531,0.2,14290.480985,22.11356,inf,inf,0.0,-inf
1541,0.2,8896.847456,17.771414,inf,inf,0.0,-inf
1551,0.2,10380.446065,334.379358,inf,inf,0.0,-inf
1561,0.2,5841.905124,16.834338,inf,inf,0.0,-inf
1571,0.2,Unknown,,,,,
1581,0.2,18278.580183,18.878951,inf,inf,0.0,-inf
1591,0.2,36918.381792,21.358088,inf,inf,0.0,-inf
1601,0.2,2041.815855,184.694504,inf,inf,0.0,-inf
1611,0.2,1047.296365,231.656986,inf,inf,0.0,-inf
1621,0.2,8490.968893,232.568397,inf,inf,0.0,-inf
1631,0.2,7033.321034,32.410744,inf,inf,0.0,-inf
1641,0.2,15047.264931,18.395871,inf,inf,0.0,-inf
1651,0.2,Unknown,,,,,
1661,0.2,3424.733796,60.643099,inf,inf,0.0,-inf
1671,0.2,5023.150514,84.035886,inf,inf,0.0,-inf
1681,0.2,5930.966529,129.657165,inf,inf,0.0,-inf
1691,0.2,10510.620549,31.738965,inf,inf,0.0,-inf
1701,0.2,35294.773523,20.467052,inf,inf,0.0,-inf
1711,0.2,11210.322230,16.534296,inf,inf,0.0,-inf
1721,0.2,2466.472115,16.218054,inf,inf,0.0,-inf
1731,0.2,3793.073564,104.618446,inf,inf,0.0,-inf
1741,0.2,Unknown,,,,,
1751,0.2,11767.960942,34.494775,inf,inf,0.0,-inf
1761,0.2,Unknown,,,,,
1771,0.2,14058.888326,21.709841,inf,inf,0.0,-inf
1781,0.2,5309.244892,26.562435,inf,inf,0.0,-inf
1791,0.2,10144.669956,20.169671,inf,inf,0.0,-inf
1801,0.2,20583.584383,31.657137,inf,inf,0.0,-inf
1811,0.2,15588.150722,22.224183,inf,inf,0.0,-inf
1821,0.2,21343.917761,94.922844,inf,inf,0.0,-inf
1831,0.2,32329.335933,36.147883,inf,inf,0.0,-inf
1841,0.2,893.653149,140.376319,inf,inf,0.0,-inf
1851,0.2,1616.038941,149.248029,inf,inf,0.0,-inf
1861,0.2,1078.569182,376.244065,inf,inf,0.0,-inf
1871,0.2,7008.432959,26.325731,inf,inf,0.0,-inf
1881,0.2,11973.738554,24.080051,inf,inf,0.0,-inf
1891,0.2,24749.242648,30.872811,inf,inf,0.0,-inf
1901,0.2,2366.408550,26.099623,inf,inf,0.0,-inf
1911,0.2,8300.549009,21.177308,inf,inf,0.0,-inf
1921,0.2,13861.878708,94.53089,inf,inf,0.0,-inf
1931,0.2,20572.071741,35.323662,inf,inf,0.0,-inf
1941,0.2,Unknown,,,,,
1951,0.2,24854.460786,36.974793,inf,inf,0.0,-inf
1961,0.2,2904.593921,119.528247,inf,inf,0.0,-inf
1971,0.2,Unknown,,,,,
1981,0.2,6222.274605,81.189949,inf,inf,0.0,-inf
1991,0.2,20231.179238,1013.680695,inf,inf,0.0,-inf
2001,0.0,27393.0,33.397373,inf,inf,0.0,-inf
2011,0.0,36437.0,50.264631,inf,inf,0.0,-inf
2021,0.0,13670.0,38.253764,inf,inf,0.0,-inf
2031,0.0,16949.0,40.566879,inf,inf,0.0,-inf
2041,0.0,23300.0,43.159643,inf,inf,0.0,-inf
2051,0.0,29808.0,41.969845,inf,inf,0.0,-inf
2061,0.0,69705.0,42.320236,inf,inf,0.0,-inf
2071,0.0,56306.0,40.479872,inf,inf,0.0,-inf
2081,0.0,6262.0,39.649503,inf,inf,0.0,-inf
2091,0.0,8010.0,33.377789,inf,inf,0.0,-inf
2101,0.0,6770.0,40.198,inf,inf,0.0,-inf
2111,0.0,31054.0,41.667996,inf,inf,0.0,-inf
2121,0.0,41429.0,35.877985,inf,inf,0.0,-inf
2131,0.0,48424.0,40.857622,inf,inf,0.0,-inf
2141,0.0,12940.0,37.923657,inf,inf,0.0,-inf
2151,0.0,8685.0,31.892233,inf,inf,0.0,-inf
2161,0.0,5666.0,30.89766,inf,inf,0.0,-inf
2171,0.0,28391.0,33.636378,inf,inf,0.0,-inf
2181,0.0,60020.0,34.428518,inf,inf,0.0,-inf
2191,0.0,41938.0,36.545174,inf,inf,0.0,-inf
2201,0.0,2578.0,38.345899,inf,inf,0.0,-inf
2211,0.0,4084.0,28.768969,inf,inf,0.0,-inf
2221,0.0,4797.0,25.838144,inf,inf,0.0,-inf
2231,0.0,21235.0,29.384759,inf,inf,0.0,-inf
2241,0.0,39567.0,30.720476,inf,inf,0.0,-inf
2251,0.0,28088.0,37.226247,inf,inf,0.0,-inf
2261,0.0,11524.0,44.966903,inf,inf,0.0,-inf
2271,0.0,14474.0,36.152272,inf,inf,0.0,-inf
2281,0.0,15560.0,25.036616,inf,inf,0.0,-inf
2291,0.0,43144.0,31.284803,inf,inf,0.0,-inf
2301,0.0,53636.0,29.400652,inf,inf,0.0,-inf
2311,0.0,68009.0,24.710782,inf,inf,0.0,-inf
2321,0.0,6645.0,29.423312,inf,inf,0.0,-inf
2331,0.0,7827.0,22.040949,inf,inf,0.0,-inf
2341,0.0,12816.0,33.650326,inf,inf,0.0,-inf
2351,0.0,30367.0,26.209444,inf,inf,0.0,-inf
2361,0.0,27440.0,32.423453,inf,inf,0.0,-inf
2371,0.0,46986.0,28.874867,inf,inf,0.0,-inf
2381,0.0,14962.0,26.905148,inf,inf,0.0,-inf
2391,0.0,14597.0,31.341856,inf,inf,0.0,-inf
2401,0.0,15532.0,33.448377,inf,inf,0.0,-inf
2411,0.0,37833.0,30.311761,inf,inf,0.0,-inf
2421,0.0,55937.0,30.337045,inf,inf,0.0,-inf
2431,0.0,71374.0,37.267798,inf,inf,0.0,-inf
2441,0.0,1541.0,49.883868,inf,inf,0.0,-inf
2451,0.0,1138.0,31.224615,inf,inf,0.0,-inf
2461,0.0,1410.0,29.842073,inf,inf,0.0,-inf
2471,0.0,2422.0,21.171358,inf,inf,0.0,-inf
2481,0.0,3365.0,22.051095,inf,inf,0.0,-inf
2491,0.0,10590.0,37.118308,inf,inf,0.0,-inf
1301,0.0,4077.0,4.364051,inf,inf,0.0,-inf
1311,0.0,4254.0,3.943027,inf,inf,0.0,-inf
1321,0.0,2732.0,2.170996,inf,inf,0.0,-inf
1331,0.0,2058.0,1.525199,inf,inf,0.0,-inf
1341,0.0,8667.0,3.108648,inf,inf,0.0,-inf
1351,0.0,11933.0,3.105727,inf,inf,0.0,-inf
1361,0.0,826.0,3.562082,inf,inf,0.0,-inf
1371,0.0,1288.0,3.071359,inf,inf,0.0,-inf
1381,0.0,1233.0,2.625714,inf,inf,0.0,-inf
1391,0.0,4708.0,3.187296,inf,inf,0.0,-inf
2231,0.1,22701.206607,104.128817,inf,inf,0.0,-inf
2241,0.1,Unknown,,,,,
2251,0.1,Unknown,,,,,
2531,0.1,11925.713655,534.58199,inf,inf,0.0,-inf
2541,0.1,27104.46216,189.964028,inf,inf,0.0,-inf
2551,0.1,24090.839625,102.946892,inf,inf,0.0,-inf
2561,0.1,58.0,68.774349,inf,inf,0.0,-inf
2571,0.1,1612.559409,105.844156,inf,inf,0.0,-inf
3001,0.2,16771.431403,139.526851,inf,inf,0.0,-inf
3011,0.2,16652.307175,401.136559,inf,inf,0.0,-inf
3021,0.2,24447.924783,294.175297,inf,inf,0.0,-inf
3031,0.2,52124.998922,275.519983,inf,inf,0.0,-inf
3041,0.2,Unknown,,,,,
3051,0.2,3668.989032,2212.850286,inf,inf,0.0,-inf
3061,0.2,Unknown,,,,,
3071,0.2,17603.720737,249.678287,inf,inf,0.0,-inf
3081,0.2,20742.523552,702.682624,inf,inf,0.0,-inf
3091,0.2,30117.236761,793.732081,inf,inf,0.0,-inf
3101,0.2,5784.060211,118.754636,inf,inf,0.0,-inf
3111,0.2,20157.473726,1239.016424,inf,inf,0.0,-inf
3121,0.2,14017.659444,1977.100352,inf,inf,0.0,-inf
3131,0.2,20473.458127,909.619751,inf,inf,0.0,-inf
3141,0.2,27578.679314,242.754985,inf,inf,0.0,-inf
3151,0.2,47154.079851,391.045968,inf,inf,0.0,-inf
3161,0.2,3595.270878,2453.660552,inf,inf,0.0,-inf
3171,0.2,Unknown,,,,,
3181,0.2,Unknown,,,,,
3191,0.2,16202.329479,570.956782,inf,inf,0.0,-inf
3201,0.2,19913.380238,202.406252,inf,inf,0.0,-inf
3211,0.2,29148.256973,176.681179,inf,inf,0.0,-inf
3221,0.2,17965.468850,771.02598,inf,inf,0.0,-inf
3231,0.2,16990.811967,539.880959,inf,inf,0.0,-inf
3241,0.2,Unknown,,,,,
3251,0.2,19951.491315,1476.273397,inf,inf,0.0,-inf
3261,0.2,14691.575428,1914.698765,inf,inf,0.0,-inf
3271,0.2,39815.312081,124.282925,inf,inf,0.0,-inf
1501,0.0,2633.0,7.208208,inf,inf,0.0,-inf
