instance,alpha,jobs,stages,solution_d0,solution_d0,last_improvment_time_d0,solution_d0,solution_d1,solution_d1,last_improvment_time_d1,solution_d1,MIN,gap_d0,gap_d1
,,,,mean,min,mean,cv,mean,min,mean,cv,,,
2101,0.2,30,30,15713.46906,15602.9092,11.94354,0.5648498331427392,11573.61874,11490.1777,29.512079999999997,0.4762161366160098,11490.1777,35.793454264854404,0.0
2111,0.2,30,30,49778.622019999995,49769.3813,22.631700000000002,0.018130448398681876,48606.96878,48591.1125,37.07674,0.03199619107291675,48591.1125,2.424864835107445,0.0
2121,0.2,30,30,67810.1182,67786.9456,20.26624,0.06382498725644732,65615.19522,65583.0898,33.77156,0.038801316521064444,65583.0898,3.360402516442592,0.0
2131,0.2,30,30,80279.3103,80218.0674,19.303019999999997,0.07350902380039247,75542.32658,75534.0889,29.171460000000003,0.012298917250383002,75534.0889,6.201145162684285,0.0
2141,0.2,30,30,19815.51408,19793.4565,34.88492,0.150417480030418,16521.202960000002,16511.7406,18.12962,0.04146413616078537,16511.7406,19.875045154234066,0.0
2151,0.2,30,30,16012.8875,15982.8206,22.28946,0.17685365904840822,14332.492600000001,14299.9039,27.344640000000005,0.14450848700491747,14299.9039,11.768727340887933,0.0
2161,0.2,30,30,8499.23428,8460.7483,26.866899999999998,0.310140963940257,6814.96324,6812.218,26.28812,0.08731890031302025,6812.218,24.199611638969856,0.0
2171,0.2,30,30,42852.0408,42716.1175,16.6083,0.20313672296521393,41386.44378,41308.2643,34.703379999999996,0.12364852365001273,41308.2643,3.4081635330293887,0.0
2181,0.2,30,30,77853.78674,77844.9949,18.06474,0.00832750213937735,77673.45632,77638.6964,35.89864,0.03558036443969799,77638.6964,0.2657160791793053,0.0
2191,0.2,30,30,64486.08968,64409.5939,23.5038,0.08618322108556489,59815.98774,59805.4152,30.781560000000002,0.02061886999734508,59805.4152,7.698598336961293,0.0
2201,0.2,30,30,6652.22142,6633.96,17.14372,0.2404950795568469,3841.8707999999997,3841.8708,15.974960000000001,0.0,3841.8708,72.67524977674938,0.0
2211,0.2,30,30,13663.6354,13537.3538,26.616880000000002,0.7977392046922855,8047.3227,7993.6489,27.94594,0.8661726496697076,7993.6489,69.35136843450806,0.0
2221,0.2,30,30,16553.0982,16391.1519,19.940019999999997,0.7911638073164523,12303.83876,12271.2637,31.34668,0.2841943291213696,12271.2637,33.57346317967237,0.0
2231,0.2,30,30,33691.427240000005,33652.3209,14.590699999999998,0.08399081215116172,32387.01344,32362.3605,31.46412,0.06307514720346036,32362.3605,3.9859898353211904,0.0
